#This map is createrd by MapFileWriter
<e> cube cube cube1 100.0 3.4663596 10.0 1.0 false
<e> stall stall stallTexture 50.0 0.11891197 50.0 4.0 false
<e> cherry cherry cherry 150.0 13.1985445 150.0 4.0 false
<e> tree tree bark 10.0 6.3366094 10.0 4.0 false
<e> null grassObject grassObjAtlas 0.0 8.224575 0.0 2.5318866 true
<e> null grassObject grassObjAtlas 0.0 8.224575 0.0 2.5318866 true
<e> null grassObject grassObjAtlas 5.0 7.4624214 0.0 1.3125213 true
<e> null grassObject grassObjAtlas 5.0 7.4624214 0.0 1.3125213 true
<e> null grassObject grassObjAtlas 10.0 6.2757196 0.0 1.9950472 true
<e> null grassObject grassObjAtlas 10.0 6.2757196 0.0 1.9950472 true
<e> null grassObject grassObjAtlas 15.0 5.0872364 0.0 2.2881265 true
<e> null grassObject grassObjAtlas 15.0 5.0872364 0.0 2.2881265 true
<e> null grassObject grassObjAtlas 20.0 4.3352723 0.0 1.142929 true
<e> null grassObject grassObjAtlas 20.0 4.3352723 0.0 1.142929 true
<e> null grassObject grassObjAtlas 25.0 4.563363 0.0 1.1812874 true
<e> null grassObject grassObjAtlas 25.0 4.563363 0.0 1.1812874 true
<e> null grassObject grassObjAtlas 30.0 5.1690216 0.0 1.1385827 true
<e> null grassObject grassObjAtlas 30.0 5.1690216 0.0 1.1385827 true
<e> null grassObject grassObjAtlas 35.0 4.2397375 0.0 2.3089957 true
<e> null grassObject grassObjAtlas 35.0 4.2397375 0.0 2.3089957 true
<e> null grassObject grassObjAtlas 40.0 3.011578 0.0 2.206436 true
<e> null grassObject grassObjAtlas 40.0 3.011578 0.0 2.206436 true
<e> null grassObject grassObjAtlas 45.0 2.4474761 0.0 1.7947971 true
<e> null grassObject grassObjAtlas 45.0 2.4474761 0.0 1.7947971 true
<e> null grassObject grassObjAtlas 50.0 2.804445 0.0 1.8065057 true
<e> null grassObject grassObjAtlas 50.0 2.804445 0.0 1.8065057 true
<e> null grassObject grassObjAtlas 55.0 3.2563553 0.0 2.9506598 true
<e> null grassObject grassObjAtlas 55.0 3.2563553 0.0 2.9506598 true
<e> null grassObject grassObjAtlas 60.0 3.8429499 0.0 1.3837574 true
<e> null grassObject grassObjAtlas 60.0 3.8429499 0.0 1.3837574 true
<e> null grassObject grassObjAtlas 65.0 3.832418 0.0 1.1116741 true
<e> null grassObject grassObjAtlas 65.0 3.832418 0.0 1.1116741 true
<e> null grassObject grassObjAtlas 70.0 2.8475225 0.0 1.1054566 true
<e> null grassObject grassObjAtlas 70.0 2.8475225 0.0 1.1054566 true
<e> null grassObject grassObjAtlas 75.0 1.9354345 0.0 2.1584103 true
<e> null grassObject grassObjAtlas 75.0 1.9354345 0.0 2.1584103 true
<e> null grassObject grassObjAtlas 80.0 0.918706 0.0 1.3967664 true
<e> null grassObject grassObjAtlas 80.0 0.918706 0.0 1.3967664 true
<e> null grassObject grassObjAtlas 85.0 0.28736928 0.0 1.052836 true
<e> null grassObject grassObjAtlas 85.0 0.28736928 0.0 1.052836 true
<e> null grassObject grassObjAtlas 90.0 0.30348277 0.0 2.7919455 true
<e> null grassObject grassObjAtlas 90.0 0.30348277 0.0 2.7919455 true
<e> null grassObject grassObjAtlas 95.0 0.9965975 0.0 1.1349556 true
<e> null grassObject grassObjAtlas 95.0 0.9965975 0.0 1.1349556 true
<e> null grassObject grassObjAtlas 100.0 1.376206 0.0 2.3091178 true
<e> null grassObject grassObjAtlas 100.0 1.376206 0.0 2.3091178 true
<e> null grassObject grassObjAtlas 105.0 1.897917 0.0 1.4307768 true
<e> null grassObject grassObjAtlas 105.0 1.897917 0.0 1.4307768 true
<e> null grassObject grassObjAtlas 110.0 3.0723007 0.0 2.185813 true
<e> null grassObject grassObjAtlas 110.0 3.0723007 0.0 2.185813 true
<e> null grassObject grassObjAtlas 115.0 4.726659 0.0 1.0909718 true
<e> null grassObject grassObjAtlas 115.0 4.726659 0.0 1.0909718 true
<e> null grassObject grassObjAtlas 120.0 6.397849 0.0 1.1166064 true
<e> null grassObject grassObjAtlas 120.0 6.397849 0.0 1.1166064 true
<e> null grassObject grassObjAtlas 125.0 7.3352203 0.0 2.6282115 true
<e> null grassObject grassObjAtlas 125.0 7.3352203 0.0 2.6282115 true
<e> null grassObject grassObjAtlas 130.0 8.101032 0.0 2.1308599 true
<e> null grassObject grassObjAtlas 130.0 8.101032 0.0 2.1308599 true
<e> null grassObject grassObjAtlas 135.0 7.826046 0.0 2.695239 true
<e> null grassObject grassObjAtlas 135.0 7.826046 0.0 2.695239 true
<e> null grassObject grassObjAtlas 140.0 6.523925 0.0 1.7365279 true
<e> null grassObject grassObjAtlas 140.0 6.523925 0.0 1.7365279 true
<e> null grassObject grassObjAtlas 145.0 4.7938833 0.0 1.6223317 true
<e> null grassObject grassObjAtlas 145.0 4.7938833 0.0 1.6223317 true
<e> null grassObject grassObjAtlas 150.0 4.9781766 0.0 1.0153989 true
<e> null grassObject grassObjAtlas 150.0 4.9781766 0.0 1.0153989 true
<e> null grassObject grassObjAtlas 155.0 5.0267 0.0 1.220031 true
<e> null grassObject grassObjAtlas 155.0 5.0267 0.0 1.220031 true
<e> null grassObject grassObjAtlas 160.0 4.4745593 0.0 2.8472786 true
<e> null grassObject grassObjAtlas 160.0 4.4745593 0.0 2.8472786 true
<e> null grassObject grassObjAtlas 165.0 3.4053612 0.0 2.8903837 true
<e> null grassObject grassObjAtlas 165.0 3.4053612 0.0 2.8903837 true
<e> null grassObject grassObjAtlas 170.0 2.4380028 0.0 1.5080626 true
<e> null grassObject grassObjAtlas 170.0 2.4380028 0.0 1.5080626 true
<e> null grassObject grassObjAtlas 175.0 2.22814 0.0 1.8481295 true
<e> null grassObject grassObjAtlas 175.0 2.22814 0.0 1.8481295 true
<e> null grassObject grassObjAtlas 180.0 1.9424927 0.0 2.453252 true
<e> null grassObject grassObjAtlas 180.0 1.9424927 0.0 2.453252 true
<e> null grassObject grassObjAtlas 185.0 1.824225 0.0 2.2342217 true
<e> null grassObject grassObjAtlas 185.0 1.824225 0.0 2.2342217 true
<e> null grassObject grassObjAtlas 190.0 2.1708937 0.0 2.3692846 true
<e> null grassObject grassObjAtlas 190.0 2.1708937 0.0 2.3692846 true
<e> null grassObject grassObjAtlas 195.0 3.424546 0.0 1.6410319 true
<e> null grassObject grassObjAtlas 195.0 3.424546 0.0 1.6410319 true
<e> null grassObject grassObjAtlas 200.0 3.8588133 0.0 2.5364218 true
<e> null grassObject grassObjAtlas 200.0 3.8588133 0.0 2.5364218 true
<e> null grassObject grassObjAtlas 205.0 4.7513933 0.0 1.6259507 true
<e> null grassObject grassObjAtlas 205.0 4.7513933 0.0 1.6259507 true
<e> null grassObject grassObjAtlas 210.0 6.1425924 0.0 1.4664394 true
<e> null grassObject grassObjAtlas 210.0 6.1425924 0.0 1.4664394 true
<e> null grassObject grassObjAtlas 215.0 7.700852 0.0 1.2636322 true
<e> null grassObject grassObjAtlas 215.0 7.700852 0.0 1.2636322 true
<e> null grassObject grassObjAtlas 220.0 8.287799 0.0 2.7048297 true
<e> null grassObject grassObjAtlas 220.0 8.287799 0.0 2.7048297 true
<e> null grassObject grassObjAtlas 225.0 9.499096 0.0 2.8037257 true
<e> null grassObject grassObjAtlas 225.0 9.499096 0.0 2.8037257 true
<e> null grassObject grassObjAtlas 230.0 11.601873 0.0 1.9507132 true
<e> null grassObject grassObjAtlas 230.0 11.601873 0.0 1.9507132 true
<e> null grassObject grassObjAtlas 235.0 13.69391 0.0 2.718852 true
<e> null grassObject grassObjAtlas 235.0 13.69391 0.0 2.718852 true
<e> null grassObject grassObjAtlas 240.0 15.023822 0.0 2.3595257 true
<e> null grassObject grassObjAtlas 240.0 15.023822 0.0 2.3595257 true
<e> null grassObject grassObjAtlas 245.0 16.192982 0.0 2.5362225 true
<e> null grassObject grassObjAtlas 245.0 16.192982 0.0 2.5362225 true
<e> null grassObject grassObjAtlas 250.0 18.327633 0.0 1.4463505 true
<e> null grassObject grassObjAtlas 250.0 18.327633 0.0 1.4463505 true
<e> null grassObject grassObjAtlas 255.0 20.434532 0.0 1.0664052 true
<e> null grassObject grassObjAtlas 255.0 20.434532 0.0 1.0664052 true
<e> null grassObject grassObjAtlas 260.0 21.77761 0.0 2.5753264 true
<e> null grassObject grassObjAtlas 260.0 21.77761 0.0 2.5753264 true
<e> null grassObject grassObjAtlas 265.0 21.757088 0.0 1.2262499 true
<e> null grassObject grassObjAtlas 265.0 21.757088 0.0 1.2262499 true
<e> null grassObject grassObjAtlas 270.0 20.265156 0.0 2.0580037 true
<e> null grassObject grassObjAtlas 270.0 20.265156 0.0 2.0580037 true
<e> null grassObject grassObjAtlas 275.0 19.668015 0.0 2.383078 true
<e> null grassObject grassObjAtlas 275.0 19.668015 0.0 2.383078 true
<e> null grassObject grassObjAtlas 280.0 19.481186 0.0 1.6271021 true
<e> null grassObject grassObjAtlas 280.0 19.481186 0.0 1.6271021 true
<e> null grassObject grassObjAtlas 285.0 19.134256 0.0 2.8384354 true
<e> null grassObject grassObjAtlas 285.0 19.134256 0.0 2.8384354 true
<e> null grassObject grassObjAtlas 290.0 18.069187 0.0 1.0194873 true
<e> null grassObject grassObjAtlas 290.0 18.069187 0.0 1.0194873 true
<e> null grassObject grassObjAtlas 295.0 17.552475 0.0 1.0676192 true
<e> null grassObject grassObjAtlas 295.0 17.552475 0.0 1.0676192 true
<e> null grassObject grassObjAtlas 300.0 17.905216 0.0 1.8921189 true
<e> null grassObject grassObjAtlas 300.0 17.905216 0.0 1.8921189 true
<e> null grassObject grassObjAtlas 305.0 18.973768 0.0 2.0128508 true
<e> null grassObject grassObjAtlas 305.0 18.973768 0.0 2.0128508 true
<e> null grassObject grassObjAtlas 310.0 20.597658 0.0 1.8873179 true
<e> null grassObject grassObjAtlas 310.0 20.597658 0.0 1.8873179 true
<e> null grassObject grassObjAtlas 315.0 22.545557 0.0 1.0015254 true
<e> null grassObject grassObjAtlas 315.0 22.545557 0.0 1.0015254 true
<e> null grassObject grassObjAtlas 320.0 22.397068 0.0 2.7202911 true
<e> null grassObject grassObjAtlas 320.0 22.397068 0.0 2.7202911 true
<e> null grassObject grassObjAtlas 325.0 21.008451 0.0 1.6659167 true
<e> null grassObject grassObjAtlas 325.0 21.008451 0.0 1.6659167 true
<e> null grassObject grassObjAtlas 330.0 19.69806 0.0 2.3250017 true
<e> null grassObject grassObjAtlas 330.0 19.69806 0.0 2.3250017 true
<e> null grassObject grassObjAtlas 335.0 19.13376 0.0 1.0477198 true
<e> null grassObject grassObjAtlas 335.0 19.13376 0.0 1.0477198 true
<e> null grassObject grassObjAtlas 340.0 19.333677 0.0 1.7880335 true
<e> null grassObject grassObjAtlas 340.0 19.333677 0.0 1.7880335 true
<e> null grassObject grassObjAtlas 345.0 18.898045 0.0 1.3818674 true
<e> null grassObject grassObjAtlas 345.0 18.898045 0.0 1.3818674 true
<e> null grassObject grassObjAtlas 350.0 19.399311 0.0 2.729104 true
<e> null grassObject grassObjAtlas 350.0 19.399311 0.0 2.729104 true
<e> null grassObject grassObjAtlas 355.0 20.462801 0.0 1.9023218 true
<e> null grassObject grassObjAtlas 355.0 20.462801 0.0 1.9023218 true
<e> null grassObject grassObjAtlas 360.0 21.519924 0.0 2.437728 true
<e> null grassObject grassObjAtlas 360.0 21.519924 0.0 2.437728 true
<e> null grassObject grassObjAtlas 365.0 21.661371 0.0 1.4625096 true
<e> null grassObject grassObjAtlas 365.0 21.661371 0.0 1.4625096 true
<e> null grassObject grassObjAtlas 370.0 21.314346 0.0 2.2157183 true
<e> null grassObject grassObjAtlas 370.0 21.314346 0.0 2.2157183 true
<e> null grassObject grassObjAtlas 375.0 20.82676 0.0 2.410406 true
<e> null grassObject grassObjAtlas 375.0 20.82676 0.0 2.410406 true
<e> null grassObject grassObjAtlas 380.0 20.976803 0.0 2.5536413 true
<e> null grassObject grassObjAtlas 380.0 20.976803 0.0 2.5536413 true
<e> null grassObject grassObjAtlas 385.0 22.272005 0.0 1.6299708 true
<e> null grassObject grassObjAtlas 385.0 22.272005 0.0 1.6299708 true
<e> null grassObject grassObjAtlas 390.0 24.430504 0.0 2.816029 true
<e> null grassObject grassObjAtlas 390.0 24.430504 0.0 2.816029 true
<e> null grassObject grassObjAtlas 395.0 25.875502 0.0 1.1148596 true
<e> null grassObject grassObjAtlas 395.0 25.875502 0.0 1.1148596 true
<e> null grassObject grassObjAtlas 400.0 25.896072 0.0 1.6364743 true
<e> null grassObject grassObjAtlas 400.0 25.896072 0.0 1.6364743 true
<e> null grassObject grassObjAtlas 405.0 25.533852 0.0 1.066575 true
<e> null grassObject grassObjAtlas 405.0 25.533852 0.0 1.066575 true
<e> null grassObject grassObjAtlas 410.0 26.051489 0.0 1.1222392 true
<e> null grassObject grassObjAtlas 410.0 26.051489 0.0 1.1222392 true
<e> null grassObject grassObjAtlas 415.0 28.14626 0.0 1.0281373 true
<e> null grassObject grassObjAtlas 415.0 28.14626 0.0 1.0281373 true
<e> null grassObject grassObjAtlas 420.0 30.20767 0.0 2.912529 true
<e> null grassObject grassObjAtlas 420.0 30.20767 0.0 2.912529 true
<e> null grassObject grassObjAtlas 425.0 31.894892 0.0 1.7279453 true
<e> null grassObject grassObjAtlas 425.0 31.894892 0.0 1.7279453 true
<e> null grassObject grassObjAtlas 430.0 32.879402 0.0 1.0802133 true
<e> null grassObject grassObjAtlas 430.0 32.879402 0.0 1.0802133 true
<e> null grassObject grassObjAtlas 435.0 33.029404 0.0 2.399934 true
<e> null grassObject grassObjAtlas 435.0 33.029404 0.0 2.399934 true
<e> null grassObject grassObjAtlas 440.0 34.10807 0.0 2.549831 true
<e> null grassObject grassObjAtlas 440.0 34.10807 0.0 2.549831 true
<e> null grassObject grassObjAtlas 445.0 34.72266 0.0 1.6798813 true
<e> null grassObject grassObjAtlas 445.0 34.72266 0.0 1.6798813 true
<e> null grassObject grassObjAtlas 450.0 35.045467 0.0 2.1427622 true
<e> null grassObject grassObjAtlas 450.0 35.045467 0.0 2.1427622 true
<e> null grassObject grassObjAtlas 455.0 36.08913 0.0 1.5994798 true
<e> null grassObject grassObjAtlas 455.0 36.08913 0.0 1.5994798 true
<e> null grassObject grassObjAtlas 460.0 39.24547 0.0 2.3523552 true
<e> null grassObject grassObjAtlas 460.0 39.24547 0.0 2.3523552 true
<e> null grassObject grassObjAtlas 465.0 42.263767 0.0 1.5865139 true
<e> null grassObject grassObjAtlas 465.0 42.263767 0.0 1.5865139 true
<e> null grassObject grassObjAtlas 470.0 43.213615 0.0 1.5775805 true
<e> null grassObject grassObjAtlas 470.0 43.213615 0.0 1.5775805 true
<e> null grassObject grassObjAtlas 475.0 43.668488 0.0 2.1393785 true
<e> null grassObject grassObjAtlas 475.0 43.668488 0.0 2.1393785 true
<e> null grassObject grassObjAtlas 480.0 44.470898 0.0 1.6648412 true
<e> null grassObject grassObjAtlas 480.0 44.470898 0.0 1.6648412 true
<e> null grassObject grassObjAtlas 485.0 45.973457 0.0 1.4166934 true
<e> null grassObject grassObjAtlas 485.0 45.973457 0.0 1.4166934 true
<e> null grassObject grassObjAtlas 490.0 47.186516 0.0 2.3664145 true
<e> null grassObject grassObjAtlas 490.0 47.186516 0.0 2.3664145 true
<e> null grassObject grassObjAtlas 495.0 48.86213 0.0 2.3386087 true
<e> null grassObject grassObjAtlas 495.0 48.86213 0.0 2.3386087 true
