#This map is createrd by MapFileWriter
<e> cube cube cube1 100.0 -16.975307 10.0 1.0 false
<e> stall stall stallTexture 50.0 -16.391165 50.0 4.0 false
<e> cherry cherry cherry 150.0 -0.7517307 150.0 4.0 false
<e> tree tree bark 10.0 1.9392757 10.0 4.0 false
<e> null grassObject grassObjAtlas 0.0 12.717175 0.0 2.8704886 true
<e> null grassObject grassObjAtlas 0.0 12.717175 0.0 2.8704886 true
<e> null grassObject grassObjAtlas 5.0 8.967454 0.0 2.3736749 true
<e> null grassObject grassObjAtlas 5.0 8.967454 0.0 2.3736749 true
<e> null grassObject grassObjAtlas 10.0 5.31537 0.0 1.8555086 true
<e> null grassObject grassObjAtlas 10.0 5.31537 0.0 1.8555086 true
<e> null grassObject grassObjAtlas 15.0 2.2175572 0.0 1.0371175 true
<e> null grassObject grassObjAtlas 15.0 2.2175572 0.0 1.0371175 true
<e> null grassObject grassObjAtlas 20.0 -0.5217657 0.0 1.9030268 true
<e> null grassObject grassObjAtlas 20.0 -0.5217657 0.0 1.9030268 true
<e> null grassObject grassObjAtlas 25.0 -3.982821 0.0 2.851493 true
<e> null grassObject grassObjAtlas 25.0 -3.982821 0.0 2.851493 true
<e> null grassObject grassObjAtlas 30.0 -5.7140484 0.0 1.7010683 true
<e> null grassObject grassObjAtlas 30.0 -5.7140484 0.0 1.7010683 true
<e> null grassObject grassObjAtlas 35.0 -6.5298543 0.0 2.3216982 true
<e> null grassObject grassObjAtlas 35.0 -6.5298543 0.0 2.3216982 true
<e> null grassObject grassObjAtlas 40.0 -7.9914794 0.0 1.4248645 true
<e> null grassObject grassObjAtlas 40.0 -7.9914794 0.0 1.4248645 true
<e> null grassObject grassObjAtlas 45.0 -10.832339 0.0 1.470005 true
<e> null grassObject grassObjAtlas 45.0 -10.832339 0.0 1.470005 true
<e> null grassObject grassObjAtlas 50.0 -14.140104 0.0 1.0890743 true
<e> null grassObject grassObjAtlas 50.0 -14.140104 0.0 1.0890743 true
<e> null grassObject grassObjAtlas 55.0 -15.001263 0.0 1.8420249 true
<e> null grassObject grassObjAtlas 55.0 -15.001263 0.0 1.8420249 true
<e> null grassObject grassObjAtlas 60.0 -14.89242 0.0 1.1331943 true
<e> null grassObject grassObjAtlas 60.0 -14.89242 0.0 1.1331943 true
<e> null grassObject grassObjAtlas 65.0 -14.498253 0.0 2.4065304 true
<e> null grassObject grassObjAtlas 65.0 -14.498253 0.0 2.4065304 true
<e> null grassObject grassObjAtlas 70.0 -14.248185 0.0 2.0648851 true
<e> null grassObject grassObjAtlas 70.0 -14.248185 0.0 2.0648851 true
